"franchise_id","franchise_name","user_name","user_id"
1,"NickVitale93","NickVitale93","691333753628360704"
2,"Mr. Unlimited","aldo216","650148989739569152"
3,"Fuck this league ","Bigmovemaker","652362981904064512"
4,"Feel the Byrne","FeelTheByrne216","659459514164146176"
5,"Pitts Creek","grandslam841","449457084522557440"
6,"Picken Bijan","jeremandle","691395878015012864"
7,"dkro23","dkro23","652353819707023360"
8,"Super Luca Mario Bro","RyanMackay33","691449829489995776"
9,"moemoe7144","moemoe7144","606628071889514496"
10,"Mike Davis and Friends","alexryb","697252810680508416"
11,"golden boy 😭","angelottico","701457559155994624"
12,"Tug-n-Rub Express","csumthin","691388777523941376"
1,"aldo216","aldo216","650148989739569152"
2,"moemoe7144","moemoe7144","606628071889514496"
3,"grandslam841","grandslam841","449457084522557440"
4,"dkro23","dkro23","652353819707023360"
5,"Yoga-na-lose 🕉","YogaNaLose","868919083553435648"
6,"jeremandle","jeremandle","691395878015012864"
7,"NFL University ","Bigmovemaker","652362981904064512"
8,"bakedbrownsfan420","bakedbrownsfan420","658002698502754304"
9,"ThunderNugget7","ThunderNugget7","869719433076256768"
10,"mattleitz1","mattleitz1","869734424546279424"
11,"Lone Rangers","dvnrng","869735170834649088"
12,"CFeezle","CFeezle","870039876832296960"
1,"Minnesota Vikings","TheBigBehemoth","467047412628713472"
2,"Chicago Bears ","Perry95","456324498128367616"
3,"Beannnnnnnne","Speedy09","729803351860080640"
4,"Cincinnati Bungles🍄","69hers","597978205525172224"
5,"MiaMi DolphiNs","NJDeviLL","574722608504483840"
6,"San Diego Chargers","aldo216","650148989739569152"
7,"NY JETS _GM_Joe Douglas","ThinStacks","590077840599330816"
8,"Lions 🦁 ","Machchiken","734145200825430016"
9,"New Orleans Saints","thatdoggikid","547239713299021824"
10,"Houston Texans","KoraDad","735329765678022656"
11,"Titans","goidness2","667790114281304064"
12,"Niners","JohnnyRoss23","725546461206482944"
13,"Ravens","savethepigs","607749596885622784"
14,NA,NA,NA
15,"Eagles ","Sykes2233","567443531834929152"
16,"Tampa Bay Buccaneers","waybackwilson","471185287452553216"
17,"Atlanta Falcons","RiverboatDave","462028117192470528"
18,"New England Patriots","KoraMom","735337639514927104"
19,"Raiders","RaIDErNaTIOn001","716856109100515328"
20,"Denver Broncos","mpas28","346817292358942720"
21,"KC Chiefs","dmichaelwill","683055868962512896"
22,"Jacksonville Jaguars","yungcrit","539975774408081408"
23,"Pittsburgh Steelers ","mbgutt","599425595524304896"
24,"Kbizzy52","Kbizzy52","473982253572026368"
25,"Giants ","WayneJr420","843292730074464256"
26,"Washington 50/50","Tbuford3165","548280730001842176"
27,"Cowboys","carlosmax04","553394209747333120"
28,"Green Bay Packers","waterworldwasok","459772795681763328"
29,"Browns = Toilet Bowl","mswift213","666142219866038272"
30,"In goff we trust  ","Wade38","719679458965024768"
31,"Seahawks","beaster303","711340236222828544"
32,"Arizona Cardinals","Mikel732","808438708641583104"
1,"Youth Movement","TStory15","567077537651130368"
2,"Chase Jam 🐯","tano33","558453983960223744"
3,"LL gang ","severts25","574093875429552128"
4,"Boats & Sendejos","SCFF","467083506447544320"
5,"🇬🇭 KING - MANN 🇯🇲","Herbzmann","188709209192275968"
6,"Demon  Llama ","ChrisMoore","580923454509854720"
7,"Habaneros ","TySegall","609817786394406912"
8,"Ball Deflators","sc00tt","674981372271611904"
9,"Old Guys","aahunt06","737503769033658368"
10,"leaves21","leaves21","588829471025442816"
11,"Defense Wins Championship","aldo216","650148989739569152"
12,"Mic27","Mic27","380930157583540224"
1,"Natural Born Kylers","debo9","692859730829312000"
2,"Am I Doing This Right?","weaselonin","727656957615382528"
3,"Tell Me Where It Hurts","AJ000","725439854468489216"
4,"TNT2172","TNT2172","727260706579247104"
5,"Jdmurphy2","Jdmurphy2","811393250354106368"
6,"Brannifannypak","Brannifannypak","334462804285222912"
7,"Look@ MyTDs","rickvanbuskirk","730596758509477888"
8,"areohbezee","areohbezee","609771258485223424"
9,"Lolominolo","Lolominolo","562473518567227392"
10,"Double EntAndres (C)","DreDay1991","635887073169059840"
11,"Wanna Trade? ","aldo216","650148989739569152"
12,"Orange Herbert","cmcmenomy","516074637789360128"
1,"BruteDion","BruteDion","457427568430149632"
2,"1.21 GigaWatt","Grims","459962934030757888"
3,"Claypool? Eh, Maybe","Mihow","457323351321341952"
4,"Making it hail with DIMES","rdotc5220","659857521044963328"
5,"Tha Bash Brotherz","r3dogg21","410283297948585984"
6,"bearnano","bearnano","680546763345555456"
7,"coolda","coolda","559150837542793216"
8,"aBstract","aBstract","73245622316449792"
9,"BossBailey","BossBailey","463130409027235840"
10,"mds1988","mds1988","384253716448067584"
11,"Jets","tsteelexii","79333807647768576"
12,"The Juice ","juicemandj","612917722040311808"
13,"aldo216","aldo216","650148989739569152"
14,"Flow","Flow","433749352079421440"
15,"Quantum Accelerator ","Planet_Express","603105760951468032"
16,"Covey Leader to Raven","PaulsArgonauts","429195070034411520"
1,"The real blacklist ","CruztoVictory","472464022415863808"
2,"TheInviz","TheInviz","744043224347365376"
3,"Chungus92","Chungus92","466342714972041216"
4,"nvarmy77","nvarmy77","541344882387591168"
5,"NYKDynasty","NYKDynasty","640628237029945344"
6,"WetheNorth780","WetheNorth780","660209235660988416"
7,"Sean17","Sean17","569945703944613888"
8,"jarwinisms","jarwinisms","603988300444786688"
9,"JUIRGA","JUIRGA","483823418840444928"
10,"The British Empire","JVargo","476057956777979904"
11,"aldo216","aldo216","650148989739569152"
12,"The Quad Squad","McmasterMike","562793020851978240"
13,"JohnnyDumbass","JohnnyDumbass","417016428235866112"
14,"marcuslea","marcuslea","608893813590659072"
15,"Kittle all work out","PristineIcon","480401805495234560"
16,"Musta been drunk","jkooper1010","677960429359702016"
1,"MARTIN D-35 DREADNOUGHT","aldo216","650148989739569152"
2,"Bakedbrownsfan420","bakedbrownsfan420","658002698502754304"
3,"bitbanger","bitbanger","595743935301750784"
4,"runouni","runouni","335253143476502528"
5,"ultraff","ultraff","867881987678076928"
6,"MWitt12","MWitt12","472449510228881408"
7,NA,NA,NA
8,"Trenton’s 1QB Cannon 🪄","1WokeUpDangerous","435800650018713600"
9,"o Swifties","Krid15","658491927792009216"
10,"Rodney Ruxin","DrProcter1","459197851444965376"
11,"💰Dak💰","Kleeve","599689235703853056"
12,"goodjenkins","goodjenkins","581933533807816704"
1,"1.01","_kozu","430028229227577344"
2,"bigharrywang","bigharrywang","74206915613573120"
3,"Quon with the Wind","paulywall","377644056836235264"
4,"conniecy23","conniecy23","694681842753794048"
5,"Nard dogz","jeremiah007","726929595445657600"
6,"Cunbert","Cunbert","602720580180975616"
7,"The Speed Racers","aldo216","650148989739569152"
8,"TSwift Fan Club","ihowardlin","79514978524479488"
9,"Giggity","vhiscu","198161076221648896"
10,"AaronGPFF","AaronGPFF","463797140875898880"
11,"Tis the Teezn","KevinP2506","733942048851398656"
12,"Fields of Dreams","Dustysmash","857868211356536832"
1,"Saiyanbuster","Saiyanbuster","609305839584493568"
2,"Bhart324","Bhart324","475653939723759616"
3,"Aclayton11","Aclayton11","409226179896156160"
4,"kpef33","kpef33","796913945251287040"
5,"gould11","gould11","703440345496637440"
6,"Kaiwabungaa","Kaiwabungaa","675401651544236032"
7,"ObiWanGenobi","ObiWanGenobi","387309075383406592"
8,"Krakoa","Krakoa","671078649335721984"
9," Mossed Myself Rebuild","aldo216","650148989739569152"
10,"TheBigBehemoth","TheBigBehemoth","467047412628713472"
11,"youngsimba","youngsimba","63785694535237632"
12,"l0rddavis","l0rddavis","201191922704846848"
1,"Justice League","aldo216","650148989739569152"
2,"ObiWanGenobi","ObiWanGenobi","387309075383406592"
3,"Not so youth movement","TheBigBehemoth","467047412628713472"
4,"Praise The SunGod!","Wolffman9","655974254046679040"
5,"The Underachievers","ctbbbb","488584784281333760"
6,"Kaiwabungaa","Kaiwabungaa","675401651544236032"
7,"Orphan Snatcher","Aclayton11","409226179896156160"
8,"Paydirt","GooRooo","470457042121781248"
9,"《《Thin Stacks》》","ThinStacks","590077840599330816"
10,"wordizbonson","wordizbonson","470758790224932864"
11,"Ridley me this","dabigbeast02","604626933191356416"
12,"Going Allen","Saiyanbuster","609305839584493568"
1,"Tampa Bay Buccaneers","BucOne","471054924243791872"
2,"Cincinnati Bengals","Urban__Meyer","603791219285372928"
3,"Seattle Seahawks","scottlandjames","463191083094896640"
4,"New Orleans Saints","FreezyPop","361276489628516352"
5,"Carolina Panthers 🐈‍⬛","NotCamthersX2","209424245858500608"
6,"LA Rams","CoolEverett","463801885732630528"
7,"San Francisco 49ers","Pontarelli07","422279105979891712"
8,"Arizona Cardinals","PalmerTitties","732699630235693056"
9,"New York Football Giants ","RubeusHagrid","458904462526771200"
10,"Pittsburgh Steelers","flk23","470031683484119040"
11,"Miami Dolphins 15","Tbuford3165","548280730001842176"
12,"JustPassinThruX","JustPassinThruX","594743971863908352"
13,"Detroit Lions ","domsburner","604577025272926208"
14,"Baltimore Ravens","mailboxhead","209375410935304192"
15,"Atlanta Falcons","jimma33","684924225760358400"
16,"Chicago Bears","rayguys","584249152670576640"
17,"Green Bay Packers","italianhorse9","619430287985700864"
18,"Broncos","Swolemiller","397945225273675776"
19,"New England Patriots","JoniLoveChaChi","499324987228811264"
20,"Buffalo Bills","SMundog50","698020811956649984"
21,"Cleveland Browns","aldo216","650148989739569152"
22,"Tennessee Titans","depatieg","208261788641263616"
23,"New York Jets","Wazwimo","97416796516532224"
24,"KC Chiefs","Gcruz","457714994109214720"
25,"Houston Texans","DUNNWOOD","573547657955115008"
26,"Philadelphia Eagles  🦅","davethebull","309396564642627584"
27,"Minnesota Vikings","CMPMalden","820836159616843776"
28,"Jacksonville Jaguars","YoWeskimo","475016179191115776"
29,"Las Vegas Raiders","samoss84","736410654218543104"
30,"Los Angeles Chargers","LetsGoE","734568639444930560"
31,"Indianapolis Colts ","Titillating","444711770393669632"
32,"Washington Commanders","CreamyBoii","731213912040689664"
1,"Bhart324","Bhart324","475653939723759616"
2,"ObiWanGenobi","ObiWanGenobi","387309075383406592"
3,"6 pt .5 tep 120$ empire","COPE89","467180665419329536"
4,"MattUK49er","MattUK49er","649412049675333632"
5,"Kaiwabungaa","Kaiwabungaa","675401651544236032"
6,"$120 OUT","stanleychad","279816408622166016"
7,"So Much Moore","youngsimba","63785694535237632"
8,"aldo216","aldo216","650148989739569152"
9,"chrispalz978","chrispalz978","452939124320497664"
10,"Manager1","Manager1","610194018218905600"
11,"TheLouMoon","TheLouMoon","681984625580503040"
12,"FantasyFootballGuru","FantasyFootballGuru","453115197217828864"
1,"Run CMC","Wolffman9","655974254046679040"
2,"Burnie24","Burnie24","608105524050862080"
3,"NeoFlock","NeoFlock","600840449929834496"
4,"Aclayton11","Aclayton11","409226179896156160"
5,"That’s My Bike Punk!","FebtoberRush","469752736829665280"
6,"Scatbacks","Scatbacks","672576445909897216"
7,"My Kupp Runneth Over","LARamsFan79","794779849439961088"
8,"ObiWanGenobi","ObiWanGenobi","387309075383406592"
9,"aldo216","aldo216","650148989739569152"
10,"Bhart324","Bhart324","475653939723759616"
11,"FantasyFootballGuru","FantasyFootballGuru","453115197217828864"
12,"fineprint","fineprint","656714563298902016"
1,"DonRonMexico","DonRonMexico","344156722484654080"
2,"TheBigBehemoth","TheBigBehemoth","467047412628713472"
3,"1AIchemist","1AIchemist","691671771077763072"
4,"Bhart324","Bhart324","475653939723759616"
5,"kpef33","kpef33","796913945251287040"
6,"MoreMomEn","filifresh","539588205441425408"
7,"Burnie24","Burnie24","608105524050862080"
8,"aldo216","aldo216","650148989739569152"
9,"ObiWanGenobi","ObiWanGenobi","387309075383406592"
10,"DK Kong","Wolffman9","655974254046679040"
11,"gould11","gould11","703440345496637440"
12,"wordizbonson","wordizbonson","470758790224932864"
1,"Underdog","bitbanger","595743935301750784"
2,"1QB HeartAkers","1WokeUpDangerous","435800650018713600"
3,"Carnage","karnage976","655956269110239232"
4,"WaterDog Lance Hall day","drjeffa","657013133717643264"
5,"The CoMedians","BigBuck777","657348135777046528"
6,"16 2 87 - Dynasty","JM2DC16287","656809993537921024"
7,"Pipe Layer","PipeLayer9","467430398561873920"
8,"HolyTequila7","HolyTequila7","657413050508333056"
9,"Kryptonite","BallinBrett","439105815853395968"
10,"Gorgeous Picture ofUpside","aldo216","650148989739569152"
11,"Davidpatricksj","Davidpatricksj","472526366512771072"
12,"Bhart324","Bhart324","475653939723759616"
1,"sizzlechest","sizzlechest","106085867609014272"
2,"👻","FatAzzar","463095797748068352"
3,"CrayFray","CrayFray","79034107212218368"
4,"CT","TheDealerIsBack","471718938078605312"
5,"JWilliams1306","JWilliams1306","705489039591038976"
6,"DannyCorless","DannyCorless","459468083564638208"
7,"Oh Lawd! ","eakeman24","461547436410662912"
8,"Aldo's All-Stars","aldo216","650148989739569152"
9,"Mitchmiester77","Mitchmiester77","429431984884830208"
10,"MajesticM","MajesticM","596067379163742208"
11," Yellow Jackets 40P","Tbuford3165","548280730001842176"
12,"Fresh Prince of Helaire","FiremanJoe","494934995371028480"
1,"TheBigBehemoth","TheBigBehemoth","467047412628713472"
2,"Kbizzy52","Kbizzy52","473982253572026368"
3,"Andy Reidiculous","dylanjharris","471174563598692352"
4,"goidness2","goidness2","667790114281304064"
5,"savethepigs","savethepigs","607749596885622784"
6,"aldo216","aldo216","650148989739569152"
7,"GooRooo","GooRooo","470457042121781248"
8,"NJNY CrossTOWN","bluegoodie","596778929646256128"
9,"itsdaniel13","itsdaniel13","462927871216709632"
10,"mbgutt","mbgutt","599425595524304896"
11,"AllThaSmoke","AllThaSmoke","462046411878297600"
12,"camelspoon","camelspoon","194158530171772928"
13,"codyleep1824","codyleep1824","515375974331736064"
14,"Super Chicken","ManFromDenton","79322057024094208"
15,"AveMaria","AveMaria","855330357136961536"
16,"MoultonLava08","MoultonLava08","584646309940600832"
1,"aldo216","aldo216","650148989739569152"
2,"6 pt .5 tep 100$ bb","COPE89","467180665419329536"
3,"$100 dynasty ","aambossman","471739206356430848"
4,"Alstott37","Alstott37","692899254368296960"
5,"MattUK49er","MattUK49er","649412049675333632"
6,"Thunder Gun Express","bigshot626","639218727941931008"
